Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
395,Mark Pysyk\pysykma01,25,D,FLA,82,4,13,17,0,10,4.3,4,0,0,0,13,0,0,86,4.7,1522,18:34,99,72,0,1,0.0
396,Nate Schmidt\schmina01,25,D,WSH,60,3,14,17,22,16,4.5,3,0,0,0,13,0,1,60,5.0,929,15:29,37,51,0,0,
397,Cody Ceci\cecico01,23,D,OTT,79,2,15,17,-11,20,3.2,2,0,0,0,12,1,2,143,1.4,1833,23:12,159,111,1,0,100.0
398,Erik Johnson\johnser01,28,D,COL,46,2,15,17,-6,9,2.9,2,0,0,1,9,6,0,96,2.1,1016,22:05,98,87,0,0,
399,Connor Murphy\murphco02,23,D,ARI,77,2,15,17,-13,45,2.5,1,0,1,1,15,0,0,81,2.5,1477,19:11,119,201,0,0,
400,Kevin Fiala\fialake01,20,LW,NSH,54,11,5,16,1,18,1.8,11,0,0,1,5,0,0,114,9.6,730,13:31,14,44,0,0,
401,Viktor Stalberg\stalbvi01,31,LW,TOT,75,11,5,16,-9,41,1.2,8,1,2,2,4,1,0,101,10.9,915,12:12,28,141,0,3,0.0
402,Adam Cracknell\crackad01,31,RW,DAL,69,10,6,16,9,12,1.9,9,0,1,2,6,0,0,87,11.5,722,10:28,37,91,135,160,45.8
403,Dwight King\kingdw01,27,LW,TOT,80,9,7,16,-2,12,1.1,9,0,0,1,7,0,0,110,8.2,1153,14:24,28,120,4,12,25.0
404,Ryan White\whitery01,28,C,TOT,65,9,7,16,-16,84,0.9,9,0,0,1,7,0,0,60,15.0,693,10:39,33,187,39,52,42.9
405,Zemgus Girgensons\girgeze01,23,C,BUF,75,7,9,16,-7,18,0.8,7,0,0,0,9,0,0,112,6.3,987,13:10,26,120,273,306,47.2
406,Brock McGinn\mcginbr01,22,LW,CAR,57,7,9,16,-11,6,1.1,7,0,0,1,8,0,1,74,9.5,684,12:00,22,91,1,3,25.0
407,Brandon Carlo\carlobr01,20,D,BOS,82,6,10,16,9,59,5.2,5,0,1,0,10,0,0,88,6.8,1707,20:49,115,87,0,0,
408,Nick Cousins\cousini01,23,C,PHI,60,6,10,16,-6,31,1.1,5,1,0,0,9,1,0,99,6.1,720,12:00,24,61,89,128,41.0
409,Tanner Kero\kerota01,24,RW,CHI,47,6,10,16,15,8,1.9,6,0,0,0,10,0,0,60,10.0,634,13:29,51,41,209,262,44.4
410,Derek MacKenzie\mackede01,35,C,FLA,82,6,10,16,-7,50,0.6,4,0,2,1,7,0,3,91,6.6,1030,12:34,45,192,386,386,50.0
411,Curtis McKenzie\mckencu01,25,LW,DAL,53,6,10,16,5,72,1.6,6,0,0,3,10,0,0,66,9.1,575,10:51,31,103,3,3,50.0
412,Alexander Burmistrov\burmial01,25,C,TOT,49,5,11,16,-7,12,0.9,1,4,0,0,9,1,1,45,11.1,654,13:21,19,60,178,259,40.7
413,Trevor van Riemsdyk\vanritr01,25,D,CHI,58,5,11,16,17,29,4.3,5,0,0,2,11,0,0,73,6.8,1068,18:25,100,22,0,0,
414,Deryk Engelland\engelde01,34,D,CGY,81,4,12,16,2,85,3.9,4,0,0,2,12,0,0,107,3.7,1485,18:20,134,135,1,0,100.0
415,Tom Kuhnhackl\kuhnhto01,25,RW,PIT,57,4,12,16,8,18,1.3,3,0,1,0,11,0,1,49,8.2,607,10:39,42,112,2,2,50.0
416,Dan Hamhuis\hamhuda01,34,D,DAL,79,1,15,16,-7,23,2.2,0,1,0,0,13,0,2,83,1.2,1529,19:22,100,93,0,0,
417,Matt Calvert\calvema01,27,LW,CBJ,65,10,5,15,-4,48,1.1,7,0,3,1,4,0,1,92,10.9,868,13:21,34,61,2,14,12.5
418,Kyle Brodziak\brodzky01,32,C,STL,69,8,7,15,2,27,1.4,8,0,0,2,7,0,0,55,14.5,773,11:12,39,56,323,330,49.5
419,Dale Weise\weiseda01,28,RW,PHI,64,8,7,15,1,39,1.3,7,1,0,2,6,1,0,94,8.5,824,12:53,24,135,3,0,100.0
420,Kyle Quincey\quincky01,31,D,TOT,73,6,9,15,4,51,4.2,6,0,0,0,9,0,0,79,7.6,1306,17:54,96,95,0,0,
421,Chris VandeVelde\vandech01,29,C,PHI,81,6,9,15,-5,16,0.7,6,0,0,0,9,0,0,69,8.7,936,11:34,60,114,24,20,54.5
422,Anthony Duclair\duclaan01,21,LW,ARI,58,5,10,15,-7,14,0.7,5,0,0,1,8,2,0,76,6.6,771,13:18,17,22,4,4,50.0
423,Ondrej Kase\kaseon01,21,RW,ANA,53,5,10,15,-1,18,1.2,5,0,0,2,10,0,0,77,6.5,625,11:47,14,42,1,6,14.3
424,Dan Girardi\girarda01,32,D,NYR,63,4,11,15,8,16,3.3,3,0,1,3,10,0,1,56,7.1,1203,19:06,166,107,0,0,
425,Matt Benning\bennima01,22,D,EDM,62,3,12,15,8,29,3.5,2,1,0,0,10,2,0,69,4.3,1030,16:37,64,111,0,0,
426,Joel Edmundson\edmunjo01,23,D,STL,69,3,12,15,11,60,4.2,3,0,0,1,12,0,0,81,3.7,1226,17:46,95,122,0,0,
427,Michael Stone\stonemi01,26,D,TOT,64,3,12,15,0,32,3.3,2,1,0,0,8,4,0,81,3.7,1268,19:49,143,125,1,0,100.0
428,Jay Bouwmeester\bouwmja01,33,D,STL,81,1,14,15,6,28,4.1,1,0,0,0,13,1,0,106,0.9,1815,22:24,111,67,0,0,
429,Brian Dumoulin\dumoubr01,25,D,PIT,70,1,14,15,0,14,1.7,1,0,0,0,10,4,0,78,1.3,1438,20:33,99,113,0,0,
430,Benoit Pouliot\poulibe01,30,LW,EDM,67,8,6,14,-5,34,0.6,8,0,0,1,6,0,0,77,10.4,942,14:03,39,39,7,21,25.0
431,Nick Bjugstad\bjugsni01,24,C,FLA,54,7,7,14,-19,22,0.5,6,1,0,1,5,2,0,91,7.7,710,13:09,9,72,186,205,47.6
432,Tim Schaller\schalti01,26,C,BOS,59,7,7,14,-6,23,1.1,7,0,0,2,7,0,0,89,7.9,724,12:16,38,73,28,29,49.1
433,David Desharnais\deshada01,30,C,TOT,49,6,8,14,4,12,1.4,6,0,0,1,6,2,0,46,13.0,610,12:28,15,5,170,162,51.2
434,Vinnie Hinostroza\hinosvi01,22,LW,CHI,49,6,8,14,-1,17,1.1,6,0,0,2,8,0,0,76,7.9,587,11:59,19,31,68,103,39.8
435,Carl Soderberg\soderca01,31,C,COL,80,6,8,14,-26,22,-0.4,5,1,0,0,7,1,0,128,4.7,1076,13:27,42,34,365,337,52.0
436,Anthony DeAngelo\deangan01,21,D,ARI,39,5,9,14,-13,37,1.7,3,2,0,1,3,6,0,60,8.3,667,17:06,48,31,0,0,
437,Kevin Bieksa\biekske01,35,D,ANA,81,3,11,14,0,63,3.5,2,1,0,1,9,2,0,94,3.2,1519,18:45,100,173,0,0,
438,Luke Glendening\glendlu01,27,C,DET,74,3,11,14,-10,26,0.0,3,0,0,0,10,1,0,76,3.9,956,12:55,62,150,307,261,54.0
439,Travis Hamonic\hamontr01,26,D,NYI,49,3,11,14,-21,60,0.6,3,0,0,0,10,1,0,74,4.1,1002,20:27,108,58,0,0,
440,Matt Irwin\irwinma01,29,D,NSH,74,3,11,14,15,26,4.0,3,0,0,1,9,0,2,98,3.1,1204,16:16,121,115,0,0,
441,Kevin Klein\kleinke01,32,D,NYR,60,3,11,14,5,31,2.8,3,0,0,0,9,1,1,54,5.6,1058,17:38,123,135,0,0,
442,Andrej Sustr\sustran01,26,D,TBL,80,3,11,14,-10,43,2.5,3,0,0,1,11,0,0,93,3.2,1407,17:35,102,45,0,1,0.0
443,Toby Enstrom\enstrto01,32,D,WPG,60,1,13,14,-7,42,1.3,0,0,1,0,7,6,0,46,2.2,1314,21:54,94,24,0,0,
444,Alex Petrovic\petroal01,24,D,FLA,49,1,13,14,-1,79,2.7,1,0,0,0,13,0,0,55,1.8,889,18:09,55,106,0,0,
445,Paul Postma\postmpa01,27,D,WPG,65,1,13,14,3,15,2.1,1,0,0,0,13,0,0,50,2.0,706,10:51,42,36,0,0,
446,Brooks Orpik\orpikbr01,36,D,WSH,79,0,14,14,32,48,5.0,0,0,0,0,14,0,0,93,0.0,1405,17:47,132,181,0,0,
447,Magnus Paajarvi\paajama01,25,LW,STL,32,8,5,13,9,6,2.1,7,1,0,3,5,0,0,51,15.7,389,12:09,16,29,1,2,33.3
448,Matthew Nieto\nietoma01,24,LW,TOT,59,7,6,13,-12,8,0.4,7,0,0,1,5,0,1,85,8.2,881,14:55,34,40,2,4,33.3
449,Ryan Reaves\reavery01,30,RW,STL,80,7,6,13,4,104,1.2,7,0,0,1,6,0,0,58,12.1,711,8:53,26,239,0,5,0.0
450,Lukas Sedlak\sedlalu01,23,LW,CBJ,62,7,6,13,10,25,1.6,6,0,1,0,6,0,0,57,12.3,603,9:43,28,66,232,211,52.4
451,Oliver Bjorkstrand\bjorkol01,21,RW,CBJ,26,6,7,13,4,6,1.7,6,0,0,2,7,0,0,55,10.9,366,14:05,9,14,1,0,100.0
452,Colin Miller\milleco02,24,D,BOS,61,6,7,13,0,55,3.3,5,1,0,0,6,1,0,85,7.1,965,15:49,36,85,0,0,
453,Jordan Schroeder\schrojo01,26,C,MIN,37,6,7,13,5,0,1.6,6,0,0,0,7,0,0,37,16.2,362,9:47,15,29,19,21,47.5
454,Austin Czarnik\czarnau01,24,C,BOS,49,5,8,13,-10,12,0.7,5,0,0,1,5,3,0,66,7.6,638,13:01,25,19,57,76,42.9
455,Tyler Ennis\ennisty01,27,LW,BUF,51,5,8,13,-10,12,0.6,5,0,0,1,5,3,0,89,5.6,655,12:50,23,45,3,13,18.8
456,Justin Braun\braunju01,29,D,SJS,81,4,9,13,1,28,3.7,4,0,0,0,7,0,2,95,4.2,1626,20:05,161,136,0,0,
457,Andy Greene\greenan01,34,D,NJD,66,4,9,13,-16,8,2.5,2,1,1,1,6,3,0,83,4.8,1448,21:57,124,50,0,0,
458,Nick Jensen\jenseni02,26,D,DET,49,4,9,13,-7,12,2.3,4,0,0,0,8,0,1,59,6.8,870,17:45,56,55,0,0,
459,Marco Scandella\scandma01,26,D,MIN,71,4,9,13,-2,25,2.3,4,0,0,0,9,0,0,88,4.5,1302,18:20,85,50,0,0,
460,Karl Alzner\alzneka01,28,D,WSH,82,3,10,13,23,28,4.6,3,0,0,0,10,0,0,81,3.7,1623,19:47,162,105,0,0,
461,Kevan Miller\milleke03,29,D,BOS,58,3,10,13,1,50,3.1,3,0,0,1,9,0,1,49,6.1,1032,17:48,76,121,0,0,
462,Mark Barberio\barbema01,26,D,TOT,60,2,11,13,-5,14,2.6,1,1,0,0,8,3,0,80,2.5,1096,18:16,55,20,0,0,
463,Niklas Kronwall\kronwni01,36,D,DET,57,2,11,13,-7,32,2.3,2,0,0,0,5,6,0,67,3.0,1109,19:27,81,77,0,0,
464,Luca Sbisa\sbisalu01,27,D,VAN,82,2,11,13,-1,40,3.7,2,0,0,1,11,0,0,75,2.7,1556,18:59,122,130,0,0,
465,Riley Sheahan\sheahri01,25,C,DET,80,2,11,13,-29,14,-1.2,1,1,0,0,9,2,0,109,1.8,1118,13:58,38,81,236,230,50.6
466,Nic Petan\petanni01,21,LW,WPG,54,1,12,13,-13,12,-0.1,1,0,0,0,4,8,0,57,1.8,589,10:54,10,12,145,170,46.0
467,Kris Russell\russekr01,29,D,EDM,68,1,12,13,5,23,3.1,1,0,0,1,11,1,0,68,1.5,1443,21:13,213,67,0,0,
468,Fedor Tyutin\tyutife01,33,D,COL,69,1,12,13,-25,38,1.2,1,0,0,0,12,0,0,46,2.2,1307,18:56,90,116,0,0,
469,Shawn Matthias\matthsh01,28,LW,WPG,45,8,4,12,0,13,1.1,7,0,1,1,4,0,0,51,15.7,610,13:34,19,47,5,11,31.3
470,Jordan Weal\wealjo01,24,C,PHI,23,8,4,12,5,10,1.9,7,1,0,1,4,0,0,49,16.3,329,14:19,8,7,14,14,50.0
471,Joakim Nordstrom\nordsjo02,24,LW,CAR,82,7,5,12,-12,17,0.0,6,0,1,2,5,0,0,104,6.7,1043,12:43,41,148,9,20,31.0
472,Tommy Wingels\wingeto01,28,C,TOT,73,7,5,12,-11,27,0.4,7,0,0,2,5,0,0,81,8.6,767,10:30,46,125,111,149,42.7
473,Kyle Clifford\cliffky01,26,LW,LAK,73,6,6,12,-2,92,0.9,6,0,0,0,6,0,0,122,4.9,783,10:43,7,146,2,3,40.0
474,Ivan Barbashev\barbaiv01,21,C,STL,30,5,7,12,5,2,1.5,5,0,0,1,7,0,0,20,25.0,354,11:47,14,34,83,124,40.1
475,Braydon Coburn\coburbr01,31,D,TBL,80,5,7,12,-1,50,3.2,4,0,1,0,7,0,0,102,4.9,1339,16:44,76,109,0,0,
476,Lawson Crouse\crousla01,19,LW,ARI,72,5,7,12,-20,48,-0.3,4,0,1,2,7,0,0,84,6.0,856,11:53,29,160,1,1,50.0
477,Peter Holland\hollape01,26,C,TOT,48,5,7,12,-16,22,0.2,4,1,0,0,7,0,0,79,6.3,612,12:45,9,37,228,274,45.4
478,Chris Kelly\kellych01,36,C,OTT,82,5,7,12,-17,23,-0.4,4,0,1,2,7,0,0,85,5.9,979,11:56,48,71,223,278,44.5
479,Danny DeKeyser\dekeyda01,26,D,DET,82,4,8,12,-22,33,2.0,4,0,0,2,8,0,0,85,4.7,1800,21:57,170,100,0,0,
480,Josh Jooris\joorijo01,26,RW,TOT,54,4,8,12,-2,16,0.6,4,0,0,0,7,0,1,75,5.3,659,12:12,30,49,222,228,49.3
481,Devin Setoguchi\setogde01,30,RW,LAK,45,4,8,12,-5,14,0.8,4,0,0,0,7,1,0,60,6.7,560,12:27,10,53,2,2,50.0
482,Patrick Wiercioch\wiercpa01,26,D,COL,57,4,8,12,-18,23,1.5,4,0,0,0,8,0,0,63,6.3,950,16:40,57,52,1,0,100.0
483,Cody Eakin\eakinco01,25,C,DAL,60,3,9,12,-7,49,-0.5,3,0,0,1,7,2,0,82,3.7,1009,16:49,39,65,524,477,52.3
484,Brandon Manning\mannibr01,26,D,PHI,65,3,9,12,-12,83,2.1,2,0,1,1,9,0,0,84,3.6,1174,18:03,79,121,0,1,0.0
485,Xavier Ouellet\ouellxa01,23,D,DET,66,3,9,12,2,51,3.2,3,0,0,0,9,0,0,89,3.4,1186,17:58,87,73,0,2,0.0
486,Ben Chiarot\chiarbe01,25,D,WPG,59,2,10,12,2,33,1.9,2,0,0,0,10,0,0,49,4.1,904,15:19,94,78,0,0,
487,Micheal Haley\haleymi01,30,C,SJS,58,2,10,12,6,128,1.0,2,0,0,1,10,0,0,37,5.4,532,9:11,23,129,66,83,44.3
488,Marc Methot\methoma01,31,D,OTT,68,0,12,12,13,24,3.9,0,0,0,0,12,0,0,69,0.0,1348,19:49,77,164,0,0,
489,Tyler Pitlick\pitlity01,25,RW,EDM,31,8,3,11,0,6,1.6,8,0,0,1,3,0,0,54,14.8,308,9:55,13,70,8,7,53.3
490,Michael Raffl\rafflmi01,28,LW,PHI,52,8,3,11,-7,20,0.7,8,0,0,3,3,0,0,63,12.7,690,13:16,22,91,3,7,30.0
491,Eric Fehr\fehrer01,31,C,TOT,53,6,5,11,2,14,0.7,6,0,0,3,5,0,0,62,9.7,579,10:56,35,82,79,76,51.0
492,Johan Larsson\larssjo02,24,C,BUF,36,6,5,11,-7,20,0.7,5,1,0,2,5,0,0,49,12.2,607,16:51,23,33,261,271,49.1
493,Darnell Nurse\nurseda01,21,D,EDM,44,5,6,11,0,33,2.4,5,0,0,0,6,0,0,85,5.9,749,17:01,53,107,0,0,
494,Marko Dano\danoma01,22,C,WPG,38,4,7,11,0,10,0.9,2,2,0,0,7,0,0,44,9.1,406,10:41,14,83,1,3,25.0
495,Roman Polak\polakro01,30,D,TOR,75,4,7,11,10,65,3.2,4,0,0,1,7,0,0,64,6.3,1344,17:55,133,232,0,1,0.0
496,Fredrik Claesson\claesfr01,24,D,OTT,33,3,8,11,5,4,2.4,3,0,0,0,7,0,1,25,12.0,434,13:08,24,55,0,0,
497,Jiri Hudler\hudleji01,33,RW,DAL,32,3,8,11,-3,4,0.7,2,1,0,1,8,0,0,27,11.1,379,11:51,3,9,3,2,60.0
498,Zach Bogosian\bogosza01,26,D,BUF,56,2,9,11,-17,46,1.4,2,0,0,1,8,1,0,73,2.7,1125,20:05,97,59,0,1,0.0
499,Adam Clendening\clendad01,24,D,NYR,31,2,9,11,3,17,1.9,1,1,0,0,8,1,0,38,5.3,490,15:49,27,22,0,0,
500,Ryan Murray\murrary01,23,D,CBJ,60,2,9,11,3,24,2.4,2,0,0,0,7,1,1,52,3.8,1100,18:20,96,23,0,0,
501,Dmitrij Jaskin\jaskidm01,23,RW,STL,51,1,10,11,5,18,0.6,1,0,0,0,10,0,0,55,1.8,589,11:33,19,98,5,5,50.0
502,Jake Dotchin\dotchja01,22,D,TBL,35,0,11,11,10,35,2.7,0,0,0,0,11,0,0,50,0.0,645,18:26,19,85,0,0,
503,Stefan Noesen\noesest01,23,RW,TOT,44,8,2,10,6,24,1.6,8,0,0,0,2,0,0,63,12.7,490,11:08,10,50,26,41,38.8
504,Colton Sissons\sissoco01,23,C,NSH,58,8,2,10,11,12,1.4,7,0,1,1,2,0,0,42,19.0,645,11:07,24,104,192,192,50.0
505,Reid Boucher\bouchre01,23,C/LW,TOT,39,6,4,10,-6,8,0.9,5,1,0,0,4,0,0,70,8.6,465,11:56,14,19,0,1,0.0
506,Brian Flynn\flynnbr01,28,C,MTL,51,6,4,10,2,4,0.8,6,0,0,0,4,0,0,47,12.8,615,12:04,29,20,69,80,46.3
507,Denis Malgin\malgide01,20,C,FLA,47,6,4,10,-5,8,0.8,4,2,0,1,4,0,0,67,9.0,528,11:14,15,34,67,117,36.4
508,Joseph Cramarossa\cramajo01,24,LW,TOT,59,4,6,10,0,60,0.6,4,0,0,1,4,0,2,36,11.1,587,9:57,23,133,6,1,85.7
509,Joshua Ho-Sang\hosanjo01,21,RW,NYI,21,4,6,10,1,12,1.0,3,1,0,0,5,1,0,22,18.2,346,16:27,2,4,0,2,0.0
510,Stephen Johns\johnsst03,24,D,DAL,61,4,6,10,-10,36,1.3,4,0,0,1,5,1,0,91,4.4,1114,18:15,130,159,0,0,
511,Cedric Paquette\paquece01,23,C,TBL,58,4,6,10,-6,80,0.2,4,0,0,0,6,0,0,68,5.9,668,11:31,46,144,200,234,46.1
512,Anton Slepyshev\slepyan01,22,LW,EDM,41,4,6,10,5,4,1.0,4,0,0,0,6,0,0,55,7.3,456,11:07,15,64,2,3,40.0
513,Adam Pelech\pelecad01,22,D,NYI,44,3,7,10,-5,6,1.4,3,0,0,0,7,0,0,40,7.5,741,16:50,68,73,0,0,
514,Logan Shaw\shawlo01,25,RW,ANA,55,3,7,10,3,10,0.7,2,0,1,1,6,0,1,59,5.1,534,9:43,18,62,55,90,37.9
515,Marc Staal\staalma01,30,D,NYR,72,3,7,10,9,34,2.8,3,0,0,0,6,0,1,70,4.3,1381,19:11,97,89,0,1,0.0
516,Brenden Dillon\dillobr01,26,D,SJS,81,2,8,10,-2,60,2.6,2,0,0,0,8,0,0,86,2.3,1334,16:28,81,173,0,0,
517,Alexei Emelin\emelial01,30,D,MTL,76,2,8,10,1,71,3.0,2,0,0,0,8,0,0,82,2.4,1620,21:19,127,241,0,0,
518,Josh Leivo\leivojo01,23,LW,TOR,13,2,8,10,2,4,1.1,1,1,0,0,6,2,0,27,7.4,163,12:34,4,5,1,1,50.0
519,Adam McQuaid\mcquaad01,30,D,BOS,77,2,8,10,4,71,3.3,2,0,0,1,7,0,1,64,3.1,1405,18:15,144,157,0,0,
520,Chad Ruhwedel\ruhwech01,26,D,PIT,34,2,8,10,9,8,2.1,2,0,0,0,5,3,0,45,4.4,589,17:20,26,36,0,0,
521,Chris Tanev\tanevch01,27,D,VAN,53,2,8,10,3,14,3.1,2,0,0,1,8,0,0,39,5.1,1078,20:21,91,19,0,0,
522,Jacob Josefson\josefja01,25,C,NJD,38,1,9,10,-1,16,0.6,1,0,0,1,8,1,0,44,2.3,465,12:15,12,31,162,151,51.8
523,Nikita Zadorov\zadorni01,21,D,COL,56,0,10,10,-20,73,0.8,0,0,0,0,8,2,0,61,0.0,1066,19:02,69,153,0,0,
524,Tyler Graovac\graovty01,23,C,MIN,52,7,2,9,7,10,1.1,7,0,0,2,2,0,0,48,14.6,512,9:50,15,52,163,180,47.5
525,Matt Puempel\puempma01,24,LW,TOT,40,6,3,9,-11,11,0.5,3,3,0,1,3,0,0,44,13.6,386,9:39,12,28,0,1,0.0
526,Matt Martin\martima02,27,LW,TOR,82,5,4,9,0,123,0.2,5,0,0,0,4,0,0,66,7.6,730,8:54,26,300,0,11,0.0
527,Brad Richardson\richabr02,31,RW,ARI,16,5,4,9,-1,15,1.1,3,0,2,0,3,0,1,25,20.0,246,15:21,7,19,121,109,52.6
528,Jack Skille\skillja01,29,RW,VAN,55,5,4,9,0,12,0.9,5,0,0,0,4,0,0,73,6.8,484,8:48,24,74,2,0,100.0
529,Nikita Soshnikov\soshnni01,23,RW,TOR,56,5,4,9,1,16,0.5,5,0,0,0,3,1,0,70,7.1,608,10:51,28,101,2,15,11.8
530,Michael Chaput\chapumi01,24,C,VAN,68,4,5,9,-12,29,-0.1,4,0,0,0,5,0,0,64,6.3,750,11:01,29,68,203,182,52.7
531,Devante Smith-Pelly\smithde06,24,RW,NJD,53,4,5,9,-19,12,-0.3,4,0,0,0,3,2,0,76,5.3,716,13:30,32,94,29,42,40.8
532,Joseph Blandisi\blandjo01,22,LW,NJD,27,3,6,9,-10,26,0.4,2,1,0,2,2,4,0,24,12.5,361,13:22,6,37,76,93,45.0
533,Brendan Smith\smithbr05,27,D,TOT,51,3,6,9,1,63,2.3,2,1,0,1,4,2,0,62,4.8,981,19:15,65,59,0,0,
534,Nail Yakupov\yakupna01,23,RW,STL,40,3,6,9,-3,14,0.5,3,0,0,0,6,0,0,35,8.6,426,10:39,8,32,0,0,
535,Daniel Carr\carrda01,25,LW,MTL,33,2,7,9,4,6,0.8,2,0,0,1,7,0,0,44,4.5,338,10:15,12,19,2,1,66.7
536,Scott Mayfield\mayfisc01,24,D,NYI,25,2,7,9,-1,35,1.3,2,0,0,0,7,0,0,39,5.1,354,14:08,36,37,0,0,
537,Johnny Oduya\oduyajo01,35,D,TOT,52,2,7,9,-4,18,1.4,2,0,0,0,7,0,0,37,5.4,950,18:16,123,29,0,0,
538,Michael Sgarbossa\sgarbmi01,24,C,TOT,38,2,7,9,-5,9,0.4,1,1,0,0,6,1,0,33,6.1,424,11:09,16,39,138,176,43.9
539,Shea Theodore\theodsh01,21,D,ANA,34,2,7,9,-6,28,1.4,1,1,0,1,5,1,1,60,3.3,589,17:19,30,14,0,0,
540,Nikita Tryamkin\tryamni01,22,D,VAN,66,2,7,9,-7,64,2.2,2,0,0,0,7,0,0,65,3.1,1105,16:44,87,145,0,0,
541,Jonathan Ericsson\ericsjo01,32,D,DET,51,1,8,9,-2,63,2.1,1,0,0,0,8,0,0,43,2.3,980,19:13,36,86,0,0,
542,Jason Garrison\garrija01,32,D,TBL,70,1,8,9,-8,14,1.8,1,0,0,0,8,0,0,96,1.0,1300,18:34,91,93,0,0,
543,Greg Pateryn\patergr01,26,D,TOT,36,1,8,9,-1,10,1.5,1,0,0,0,8,0,0,42,2.4,555,15:25,66,69,0,0,
544,Yanni Gourde\gourdya01,25,C,TBL,20,6,2,8,-1,8,1.0,5,0,1,1,2,0,0,30,20.0,307,15:22,3,11,60,103,36.8
545,William Carrier\carriwi01,22,LW,BUF,41,5,3,8,-1,21,0.8,5,0,0,1,3,0,0,50,10.0,369,9:00,10,112,1,1,50.0
546,Jay McClement\mccleja01,33,C,CAR,65,5,3,8,-8,18,0.0,4,0,1,1,3,0,0,37,13.5,740,11:23,40,49,253,272,48.2
547,Pierre-Edouard Bellemare\bellepi01,31,LW,PHI,82,4,4,8,-1,20,-0.4,4,0,0,0,3,0,1,90,4.4,1064,12:58,70,73,400,429,48.3
548,Joe Colborne\colbojo01,27,C,COL,62,4,4,8,-21,34,-0.5,2,2,0,0,3,1,0,48,8.3,663,10:42,14,86,45,72,38.5
549,Jayson Megna\megnaja01,26,C,VAN,58,4,4,8,-4,6,0.1,4,0,0,0,3,1,0,72,5.6,721,12:26,23,87,2,14,12.5
550,Jordan Nolan\nolanjo01,27,C,LAK,46,4,4,8,-3,44,0.5,4,0,0,0,4,0,0,39,10.3,499,10:51,7,62,2,4,33.3
551,Dennis Rasmussen\rasmude01,26,C,CHI,68,4,4,8,-4,12,-0.4,4,0,0,0,4,0,0,77,5.2,804,11:50,49,61,165,205,44.6
552,Zachary Sanford\sanfoza01,22,LW/C,TOT,39,4,4,8,2,10,0.7,4,0,0,2,4,0,0,36,11.1,423,10:51,20,22,17,22,43.6
553,Matt Beleskey\belesma01,28,LW,BOS,49,3,5,8,-10,47,-0.2,3,0,0,0,3,2,0,79,3.8,650,13:16,18,98,29,41,41.4
554,Connor Carrick\carrico01,22,D,TOR,67,2,6,8,8,51,2.3,1,1,0,0,6,0,0,89,2.2,1095,16:20,79,66,0,0,
555,Christian Folin\folinch01,25,D,MIN,51,2,6,8,10,26,2.3,2,0,0,0,6,0,0,39,5.1,762,14:56,59,69,0,0,
556,Michal Kempny\kempnmi01,26,D,CHI,50,2,6,8,1,22,1.6,2,0,0,0,6,0,0,67,3.0,748,14:58,59,76,0,0,
557,Dylan DeMelo\demeldy01,23,D,SJS,25,1,7,8,2,14,1.6,1,0,0,0,7,0,0,32,3.1,397,15:54,32,36,0,0,
558,Alexey Marchenko\marchal01,25,D,TOT,41,1,7,8,7,12,2.3,1,0,0,0,6,0,1,36,2.8,695,16:57,59,22,0,0,
559,Jesse Puljujarvi\puljuje01,18,RW,EDM,28,1,7,8,5,10,0.7,0,1,0,0,7,0,0,41,2.4,315,11:15,10,11,0,1,0.0
560,Luke Schenn\schenlu01,27,D,ARI,78,1,7,8,-9,85,1.7,1,0,0,0,7,0,0,94,1.1,1408,18:03,134,286,0,0,
561,Yannick Weber\weberya01,28,D,NSH,73,1,7,8,1,25,1.7,1,0,0,1,7,0,0,72,1.4,870,11:55,53,72,0,0,
562,Justin Falk\falkju01,28,D,BUF,52,0,8,8,-3,29,1.5,0,0,0,0,8,0,0,33,0.0,712,13:42,40,101,1,0,100.0
563,Paul Ladue\laduepa01,24,D,LAK,22,0,8,8,-5,4,1.0,0,0,0,0,4,4,0,27,0.0,339,15:24,13,17,0,0,
564,Chris Wagner\wagnech01,25,C,ANA,43,6,1,7,2,6,0.9,6,0,0,0,1,0,0,40,15.0,402,9:21,24,112,62,86,41.9
565,Drew Miller\milledr01,32,LW,DET,55,5,2,7,-12,18,0.0,5,0,0,1,2,0,0,43,11.6,565,10:17,52,71,2,1,66.7
566,Jamie Oleksiak\oleksja01,24,D,DAL,41,5,2,7,-4,37,1.4,5,0,0,1,1,0,1,33,15.2,665,16:13,53,51,0,0,
567,Ales Hemsky\hemskal01,33,RW,DAL,15,4,3,7,-1,0,0.8,3,1,0,0,2,1,0,30,13.3,216,14:25,4,1,0,0,
568,Matt Hendricks\hendrma01,35,LW,EDM,42,4,3,7,-3,29,0.3,4,0,0,1,3,0,0,42,9.5,451,10:45,39,79,132,100,56.9
569,Nick Lappin\lappini01,24,RW,NJD,43,4,3,7,-17,17,-0.2,4,0,0,0,3,0,0,57,7.0,504,11:43,10,35,2,5,28.6
570,Tyler Motte\mottety01,21,LW,CHI,33,4,3,7,2,14,0.6,4,0,0,0,3,0,0,46,8.7,376,11:23,24,27,4,6,40.0
