Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
292,Daniel Winnik\winnida01,31,LW,WSH,72,12,13,25,15,49,3.0,10,0,2,3,13,0,0,82,14.6,930,12:55,34,25,9,12,42.9
293,Jordan Martinook\martijo01,24,LW,ARI,77,11,14,25,-8,40,1.7,9,1,1,2,11,1,2,109,10.1,1207,15:41,68,50,460,577,44.4
294,Dominic Moore\mooredo01,36,C,BOS,82,11,14,25,2,44,2.6,8,0,3,1,13,0,1,96,11.5,1061,12:57,42,63,357,297,54.6
295,Casey Cizikas\cizikca01,25,C,NYI,59,8,17,25,9,30,2.6,8,0,0,1,16,1,0,82,9.8,821,13:54,58,144,420,426,49.6
296,William Karlsson\karlswi01,24,C,CBJ,81,6,19,25,10,10,2.0,5,1,0,3,17,0,2,96,6.3,1084,13:23,24,35,435,525,45.3
297,Calvin de Haan\dehaaca01,25,D,NYI,82,5,20,25,15,36,5.4,4,1,0,1,19,1,0,116,4.3,1628,19:51,190,139,0,0,
298,Mike Ribeiro\ribeimi01,36,C,NSH,46,4,21,25,-5,14,1.8,2,2,0,0,16,5,0,38,10.5,735,15:58,6,33,183,261,41.2
299,Jonas Brodin\brodijo01,23,D,MIN,68,3,22,25,5,20,4.1,1,2,0,2,17,5,0,85,3.5,1331,19:34,89,20,0,0,
300,Brett Ritchie\ritchbr01,23,RW,DAL,78,16,8,24,11,38,3.1,15,1,0,2,7,1,0,167,9.6,1006,12:54,23,153,1,1,50.0
301,Alex Chiasson\chiasal01,26,RW,CGY,81,12,12,24,-6,46,1.9,11,0,1,1,10,2,0,104,11.5,1084,13:23,18,74,7,22,24.1
302,Trevor Lewis\lewistr01,30,C,LAK,82,12,12,24,-6,30,2.2,11,1,0,3,11,1,0,145,8.3,1170,14:16,30,174,44,66,40.0
303,Loui Eriksson\erikslo01,31,LW,VAN,65,11,13,24,-9,8,1.8,6,5,0,1,10,2,1,132,8.3,1214,18:41,26,11,0,1,0.0
304,Anthony Beauvillier\beauvan01,19,LW,NYI,66,9,15,24,1,10,2.2,9,0,0,2,14,1,0,101,8.9,859,13:01,26,81,123,174,41.4
305,Colton Sceviour\scevico01,27,C,FLA,80,9,15,24,-16,25,1.3,5,1,3,1,12,2,1,172,5.2,1171,14:38,64,108,31,27,53.4
306,Pavel Zacha\zachapa01,19,C,NJD,70,8,16,24,-17,19,1.5,3,5,0,2,8,8,0,83,9.6,1002,14:18,24,54,183,271,40.3
307,Sven Andrighetto\andrisv01,23,RW,TOT,46,7,17,24,1,12,2.5,5,2,0,0,15,2,0,68,10.3,643,13:58,22,40,7,3,70.0
308,Zack Kassian\kassiza01,26,RW,EDM,79,7,17,24,4,101,2.0,7,0,0,0,17,0,0,110,6.4,972,12:18,16,201,4,7,36.4
309,Troy Stecher\stechtr01,22,D,VAN,71,3,21,24,-16,25,3.7,2,1,0,0,14,7,0,125,2.4,1419,19:59,66,51,0,0,
310,Sami Vatanen\vatansa01,25,D,ANA,71,3,21,24,3,30,4.9,1,2,0,0,9,12,0,117,2.6,1538,21:40,128,75,0,0,
311,Brett Connolly\connobr01,24,RW,WSH,66,15,8,23,20,40,3.7,14,1,0,3,8,0,0,81,18.5,706,10:41,12,89,4,10,28.6
312,Marcus Foligno\foligma01,25,LW,BUF,80,13,10,23,-1,73,2.1,12,0,1,0,10,0,0,97,13.4,1238,15:28,57,279,1,4,20.0
313,Nikolai Kulemin\kulemni01,30,LW,NYI,72,12,11,23,3,18,2.2,10,1,1,4,9,1,1,74,16.2,995,13:49,45,78,14,13,51.9
314,Chris Tierney\tiernch01,22,C,SJS,80,11,12,23,0,6,1.9,9,1,1,2,11,0,1,90,12.2,1168,14:36,44,50,399,424,48.5
315,Mikhail Grigorenko\grigomi01,22,C,COL,75,10,13,23,-14,18,1.6,10,0,0,0,9,4,0,85,11.8,1057,14:05,26,27,111,81,57.8
316,Tom Pyatt\pyattto01,29,LW,OTT,82,9,14,23,9,16,1.8,9,0,0,1,12,0,2,95,9.5,1281,15:38,89,46,21,28,42.9
317,Johnny Boychuk\boychjo01,33,D,NYI,66,6,17,23,11,19,4.8,4,1,1,2,13,3,1,155,3.9,1368,20:44,133,160,1,0,100.0
318,Radko Gudas\gudasra01,26,D,PHI,67,6,17,23,8,93,5.5,6,0,0,0,16,1,0,113,5.3,1293,19:18,124,280,0,0,
319,David Savard\savarda01,26,D,CBJ,74,6,17,23,33,44,7.1,6,0,0,0,15,0,2,135,4.4,1616,21:50,126,127,0,0,
